Institution ID,Institution Name,City,State/Province,Country
188,Communication University of ChinaÂ ,Beijing,Beijing,China
189,University of Minnesota - Twin Cities,Minneapolis,MN,USA
190,The Hong Kong Polytechnic University,Kowloon,Hong Kong,China
191,Beijing Institute of Technology Zhuhai,Zhuhai,Guangdong,China
192,Virtual reality and simulation;Northeastern University,Shenyang,Liaoning,China
193,Guangdong University of Finance and Economics,Guangzhou,Guangdong,China
194,WuYi University,Wuyishan,Fujian,China
195,Harbin Institute of Technology,HARBIN,HEILONGJIANG,China
196,the University of International Business and Economics,Beijing,Beijing,China
197,City College Wuhan University of Science and Technology,Wuhan,Hubei,China
198,South China Normal University,Shenzhen,Guangdong,China
199,Yunnan Minzu University,Kunming,Yunnan,China
200,South China Normal University,Guangzhou City,Guangdong,China
201,Shanghai Maritime University,Shanghai,,China
202,Huazhong University of Science and Technology,Wuhan,Hubei,China
203,Sino-Dutch Biomedical and Information Engineering School; Northeastern University,Shenyang,Liaoning,China
204,NANJING UNIVERSITY,Nanjing,Jiangsu,China
205,Virginia Tech,Blacksburg,VA,USA
206,TianJin University,Tianjin,Tianjin,China
207,Shenyang jianzhu University,Shenyang,Liaoning,China
208,Qinghai University,Xining,Qinghai,China
209,Wentworth Institute of Technology,Boston,MA,USA
210,Nanjing Normal University Taizhou College,Taizhou,,China
211,Harvey Mudd College,Claremont,CA,USA
212,Xi'an University Of Architecture and Technology,Xi'an,Shanxi,China
213,Northeastern University at Qinhuangdao,Qinhuangdao,Hebei,China
214,Henan normal university,Henan,XinXiang,China
215,Shenzhen University,Shenzhen,GuangDong,China
216,NKU School of Mathematical Science,Tianjin,Tianjin,China
217,Southern Connecticut State University,New Haven,CT,USA
218,Telkom University,Bandung,Indonesia,Indonesia
219,China university of Geosciences,Beijing,Beijing,China
220,University of Illinois,Urbana,IL,USA
221,North University of China,Taiyuan,Shanxi,China
222,Hainan University,haikou,hainan,China
223,Franklin & Marshall College,Lancaster,PA,USA
224,Beihang Univeristy,Beijng,,China
225,QuFu Normal University,Qufu,Shandong,China
226,Ramapo College of New Jersey,Mahwah,NJ,USA
227,Southwest jiaotong University,Chengdu,Sichuan,China
228,Century College of Beijing University of Posts and Telecommunications,Beijing,Beijing,China
229,University of Colorado Boulder,Boulder,CO,USA
230,Sichuan university,Chengdu,Sichuan,China
231,Chongqing University,Chongqing,,China
232,Beijing National Day School,Beijing,,China
233,UIBE,Beijing,Beijing,China
234,BeiJing University Of Post And Telecommunication,beijing,beijing,China
235,South-Central University for Nationalities,Wu han,Hu bei,China
236,SouthEast University,Nanjing,Jiangsu,China
237,University of Science & Technology Beijing,Beijing,,China
238,Huazhong University of Science & Technology,Wuhan,Hubei,China
239,Nantong University,NanTong,JiangSu,China
240,Huzhou University,Huzhou,Zhejiang,China
241,China Welfare Institute,Shanghai,Shanghai,China
242,Southwestern University of Finance and economics,Chengdu,Sichuan,China
243,Chengdu University of Technology,Chengdu,Sichuan,China
244,Shandong University of Fianace and Economics,Jinan,Shandong,China
245,Inner Mongolia University For The Nationalities,Tongliao,the Inner Mongolia Autonomous Region,China
246,Xiâ€™an University of Architecture and Technology,Xiâ€™an,Shaanxi Province,China
247,University of Kentucky,Lexington,KY,USA
248,Zhejiang university,HangZhou,ZheJiang province,China
249,Indiana University of Pennsylvania,Indiana,PA,USA
250,Qingdao Agricultural University,Qingdao,Shandong,China
251,Guangdong University of Foreign Studies,guangzhou,guangzhou,China
252,Quanzhou Normal University,quanzhou,fujian,China
253,Southwestern University of Finance and Economics University,Chengdu,Sichuan,China
254,Shanghai University of Finance & Economics (P R CHINA),Shanghai,,China
255,Zhejiang Gongshang University,Hangzhou,Zhejiang,China
256,University at Buffalo (SUNY),Buffalo,NY,USA
257,Henan Normal University,Xinxiang,HeNan,China
258,SOUTHWEST JIAOTONG UNIVERSITY,Chengdu,SiChuan,China
259,Nankai university,Tianjin,Tianjin,China
260,Guangdong University of Foreign Studies,Guangzhou,,China
261,SKH Bishop Mok Sau Tseng Secondary School,Hongkong,Hongkong,China
262,Southwestern University of Finance and Economics,CHENGDU,,China
263,Dalian Nationalities University,Dalian,LIAONING,China
264,Wuhan University,WuHan,Hubei,China
265,Ludong University,Yantai,Shandong,China
266,Inner Mongolia University of Technology,Hohhot,,China
267,SHANGHAI JIAO TONG UNIVERSITY,Shanghai,SHANGHAI,China
268,Hebei United University,Tangshan,Hebei,China
269,Nanjing Tech Uinversity,Nanjing,Jiangsu,China
270,Shenzhen University,Shenzhen,Guangdong,China
271,Albion College,Albion,MI,USA
272,Anhui University of Technology,Ma'anshan,,China
273,Roanoke College,Salem,VA,USA
274,Beijing Institute of Technology,Beijing,,China
275,Tianjin University of Finance and Economics,Tianjin,,China
276,The Second Artillery Engineering University,Xi'an,Shanxi,China
277,Renmin University Of China,Beijing,Beijing,China
278,shenyang jianzhu university,shenyang,liaoning,China
279,Huangzhong University of Science and Technology,Wuhan,Hubei,China
280,Civil Aviation University of China,Tianjin,,China
281,China Jiangsu University,Zhenjiang,Jiangsu,China
282,South China Normal University,GuangZhou,Guangdong,China
283,Jinan University,Guangzhou,Guangdong,China
284,Fudan University,Shanghai,,China
285,Hexi University,Zhangye,Gansu,China
286,Northeast Forestry University,Harbin,Heilongjiang,China
287,York University,Toronto,Ontario,Canada
288,City University of Hong Kong,Hong Kong,,China
289,South-Central University for Nationalities,wuhan,hubei,China
290,Zhejiang University,Hangzhou,,China
291,Shandong university of finance and economics in China,jinan,,China
292,Bard College,Annandale-on-Hudson,NY,USA
293,Shanghai University,Shanghai,baoshan,China
294,Southwest University,Beibei,Chongqing,China
295,Luoyang Normal University,Luoyang,Henan,China
296,Jilin University of Finance and Economics,Changchun,Jilin,China
297,Civil Aviation University of China,Tianjin,Tianjin,China
298,Southwestern University of Finance and Economics,Chengdu,Sichuan Province,China
299,SHANGHAI UNIVERSITY OF FINANCE AND ECONAMICS,SHANGHAI,SHANGHAI,China
300,Guangdong University of Finance and Economics,Guangzhou,Guangzhou,China
301,Southwestern University of Financial and Economics,Chengdu,SiChuan,China
302,BeijingÂ UniversityÂ ofÂ Post and Telecommunication,Beijing,Beijing,China
303,SouthWest Jiaotong University,Chengdu,Sichuan,China
304,Beijing Language and Culture University,Beijing,Beijing,China
305,Sichuan University,Chendu,Sichuan,China
306,Central University of Finance and Ecomomics,Beijing,,China
307,Shandong university,Jinan,Shandong province,China
308,Chongqing University of Science &Technology,Chongqing,,China
309,Sun Yat-sen University,Zhuhai,,China
310,Capital Normal University,Beijing,Beijing,China
311,University of Science and Technology of Beijing,Beijing,,China
312,University of Illinois at Urbana-Champaign,Urbana,IL,USA
313,Hebei Normal University,Shijiazhuang,Hebei Province,China
314,Shandong University(Weihai),Weihai,Shandong,China
315,Shenyang Normal University,Shenyang,Liaoning,China
316,University of Adelaide,Adelaide,SA,Australia
317,Xi'an University of Architecture and Technology,Xi'an,shaanxi,China
318,Shanghai university of finance and economics,Shanghai,,China
319,Peking University,BEIJING,BEIJING,China
320,Snake River HS,Blackfoot,ID,USA
321,Institution of Innovation; Northeastern University,Shenyang,Liaoning,China
322,Sichuan University,Chengdu,Sichuan,China
323,Xinjiang University,Urumqi,Xinjiang,China
324,Zhejiang University,HANGZHOU,ZHEJIANG,China
325,Maths,Shanghai,,China
